rank,address,label,proxy_score,wallet_type,trading_signal,win_rate_pct,profit_factor,track_record_days,txn_count,total_volume_usd,avg_trade_usd,active_days,tokens_traded,dex_count,source
1,0x00000000fda4c75bfb5e0f3a75ce3d811b6f6c88,Dune DEX Trader #0,99.3,DEX Trader,Active Trader,97.8,7.83,179,2225,2403920.49,1080.41,122,502,3,dune_dex_trades
2,0x11fea1ab5c99de70e1b8c6b9f6f06533fbebdd56,Dune DEX Trader #0,99.1,DEX Trader,Active Trader,99.8,452.91,132,1429,1764561.68,1234.82,116,496,1,dune_dex_trades
3,0xe9f10c609a7d863f3a75c168cd50c91e6b82bb35,Dune DEX Trader #0,99.0,DEX Trader,Active Trader,99.6,429.07,131,1453,1531261.66,1053.86,115,499,1,dune_dex_trades
4,0x6e0064cb01008bcb00a91f00dc43e500a2ce00d6,Dune DEX Trader #0,98.7,DEX Trader,Active Trader,98.2,78.29,136,1128,3956339.54,3507.39,107,273,6,dune_dex_trades
5,0xb9cec48d444e6b563dc613a4791787a81a8447aa,Dune DEX Trader #0,98.7,DEX Trader,Active Trader,98.1,15.1,176,597,937008.63,1569.53,67,154,4,dune_dex_trades
6,0x625f39cdf33ca32c18caf3d9679f11cfbcd1ff75,Dune DEX Trader #0,98.0,DEX Trader,Active Trader,99.4,409.16,132,982,1274635.56,1298,116,503,1,dune_dex_trades
7,0xa2a9c7ad2a087ffc252d3ea4d4f2b759de58b939,Dune DEX Trader #0,96.6,DEX Trader,Active Trader,92.3,150.96,123,1780,5954142.42,3345.02,117,26,4,dune_dex_trades
8,0x7be985d1fbf9890ceef520d5361d86055707d396,Dune DEX Trader #0,94.8,DEX Trader,Active Trader,98.8,25.98,132,1837,1471561.13,801.07,116,517,1,dune_dex_trades
9,0x26bd31f38deda17b65edad7b0b7fe8b1b2bdefeb,Dune DEX Trader #0,94.8,DEX Trader,Active Trader,99.1,107.27,132,1413,1092876.79,773.44,115,493,1,dune_dex_trades
10,0x1f2f10d1c40777ae1da742455c65828ff36df387,Dune DEX Trader #0,94.0,DEX Trader,Active Trader,80,7.9,179,455940,14479202673.32,31756.82,181,4032,14,dune_dex_trades
