rank,address,copy_trading_score,win_rate_pct,profit_factor,track_record_days,max_drawdown_pct,avg_trade_duration_hrs,total_trades,active_days,trades_per_day,avg_trade_usd,total_volume_usd,tokens_traded,dex_count,first_trade,last_trade,wallet_type,source,tags
1,0xa072a49b9df8b07f493e38ee4991b7cba7296593,93.0,90,74.67,179,,,447,132,3.39,1581.93,707121.93,31,2,2025-12-11 20:12:23.000 UTC,2026-06-09 10:24:11.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
2,0x11fea1ab5c99de70e1b8c6b9f6f06533fbebdd56,92.8,99.8,452.91,132,,,1429,116,12.32,1234.82,1764561.68,496,1,2026-01-28 07:03:11.000 UTC,2026-06-09 13:12:47.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
3,0x625f39cdf33ca32c18caf3d9679f11cfbcd1ff75,92.7,99.4,409.16,132,,,982,116,8.47,1298,1274635.56,503,1,2026-01-28 07:05:59.000 UTC,2026-06-09 13:14:47.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
4,0xe9f10c609a7d863f3a75c168cd50c91e6b82bb35,92.6,99.6,429.07,131,,,1453,115,12.63,1053.86,1531261.66,499,1,2026-01-28 13:18:59.000 UTC,2026-06-09 07:22:11.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
5,0xd0c4f36b5db8353939292c7a2e0814894ca4a1ad,91.7,99.1,36.95,178,,,772,133,5.8,890.49,687457.39,222,1,2025-12-11 22:44:59.000 UTC,2026-06-08 08:38:47.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
6,0x6e0064cb01008bcb00a91f00dc43e500a2ce00d6,91.4,98.2,78.29,136,,,1128,107,10.54,3507.39,3956339.54,273,6,2025-12-12 11:57:59.000 UTC,2026-04-27 18:33:11.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
7,0xc852922b95b6b19850046d42db28ac09a1cfde70,91.3,77.8,20.06,179,,,1337,156,8.57,2187.48,2924661.04,18,5,2025-12-11 21:33:23.000 UTC,2026-06-09 15:59:59.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
8,0x0090ac276c0a7e0a17770729e450a2a9753f2d04,90.7,75,393.08,175,,,1569,161,9.75,2514.87,3945823.45,4,5,2025-12-15 19:01:35.000 UTC,2026-06-09 05:03:47.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
9,0xa2a9c7ad2a087ffc252d3ea4d4f2b759de58b939,90.6,92.3,150.96,123,,,1780,117,15.21,3345.02,5954142.42,26,4,2025-12-11 20:43:59.000 UTC,2026-04-14 05:21:23.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
10,0x7be985d1fbf9890ceef520d5361d86055707d396,88.5,98.8,25.98,132,,,1837,116,15.84,801.07,1471561.13,517,1,2026-01-28 07:06:11.000 UTC,2026-06-09 13:10:35.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
11,0x26bd31f38deda17b65edad7b0b7fe8b1b2bdefeb,88.5,99.1,107.27,132,,,1413,115,12.29,773.44,1092876.79,493,1,2026-01-28 07:11:11.000 UTC,2026-06-09 13:24:47.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
12,0xc50c30f8e6c9a260e50ebe9ea531d08f7e36096b,88.5,98.8,367.77,132,,,994,116,8.57,720.57,716248.1,502,1,2026-01-28 07:05:11.000 UTC,2026-06-09 12:52:59.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
13,0xd37e02228f6f78d48092dafb5c2ae12123dea693,87.9,66.7,41.22,179,,,10978,155,70.83,6518.11,71555781.07,3,1,2025-12-11 18:06:59.000 UTC,2026-06-09 03:15:23.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
14,0x5aaba56b29bf785cd71d8d9d3f729f4f459f9e2b,87.7,71.4,14.78,168,,,5762,169,34.09,24740.55,142555044.19,7,1,2025-12-23 15:36:59.000 UTC,2026-06-09 17:03:59.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
15,0xb9cec48d444e6b563dc613a4791787a81a8447aa,87.5,98.1,15.1,176,,,597,67,8.91,1569.53,937008.63,154,4,2025-12-14 13:47:11.000 UTC,2026-06-09 03:53:23.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
16,0x00000000fda4c75bfb5e0f3a75ce3d811b6f6c88,87.3,97.8,7.83,179,,,2225,122,18.24,1080.41,2403920.49,502,3,2025-12-12 04:48:11.000 UTC,2026-06-09 05:34:35.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
17,0x81109c07ca97833d35bd1a7a3628cd90906bed1e,87.3,94.7,69.06,132,,,1486,116,12.81,881.1,1309312.81,511,1,2026-01-28 07:04:35.000 UTC,2026-06-09 13:03:35.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
18,0xba0517589e27e76e05dcc0d5a9987d728cec6bab,87.1,94.4,116.43,132,,,1003,115,8.72,907.68,910401.93,509,1,2026-01-28 07:12:59.000 UTC,2026-06-09 13:09:47.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
19,0x43403583e889ada1c951a94e9996af3a5ccf7b46,87.0,60,17.77,179,,,8263,181,45.65,3171.19,26203508.54,5,5,2025-12-11 18:12:23.000 UTC,2026-06-09 16:24:35.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
20,0xbee4b69f6821ee7196182788392ff188bac99011,86.8,76.2,12.65,179,,,3788,150,25.25,3299.97,12500300.35,30,4,2025-12-11 18:28:11.000 UTC,2026-06-09 17:10:23.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
21,0x14577050dee56c8a279a9d65b13d3c04d1d07c2d,86.2,75,14.96,179,,,3054,132,23.14,2564.17,7830963.19,4,1,2025-12-11 19:28:23.000 UTC,2026-06-09 08:05:23.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
22,0x4ff1d40fb7b56665bf95d8d8e3a5320de46709a1,84.9,66.7,11.98,179,,,1929,167,11.55,1370.01,2642752.16,217,2,2025-12-11 19:35:35.000 UTC,2026-06-09 15:31:47.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
23,0xf22c89b62f4f7fc138f673fab48ee86ac31b487b,84.2,75,29.56,137,,,5699,105,54.28,1709.4,9741859.76,9,5,2026-01-23 15:23:59.000 UTC,2026-06-09 16:39:23.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
